id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
36454119,2019/12/01 11:02 AM AEDT,2019-12-01,2019-12-01 00:02:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2019-12-08 01:53:48 UTC,2019-12-08 09:10:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36454119,https://static.inaturalist.org/photos/57624518/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Monument. 12.2m DSC_0515,4,0,false,,"New South Wales, AU",-34.0801183159,151.2649613389,,"Sutherland Shire - East, New South Wales, Australia",-34.00175,151.22425,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
36454120,2019/12/01 10:58 AM AEDT,2019-12-01,2019-11-30 23:58:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2019-12-08 01:53:48 UTC,2019-12-08 09:13:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36454120,https://static.inaturalist.org/photos/57624523/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Monument. 12m DSC_0498,3,0,false,,"New South Wales, AU",-34.1344641617,151.2493343988,,"Sutherland Shire - East, New South Wales, Australia",-34.00175,151.22425,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
37417371,2019/12/07 2:12 PM AEDT,2019-12-07,2019-12-07 03:12:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-09 03:48:46 UTC,2020-01-09 05:05:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37417371,https://static.inaturalist.org/photos/59313599/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Steps. 12.7m DSC_0662,2,0,false,,"New South Wales, AU",-34.1591068159,151.3200331392,,"Sutherland Shire - East, New South Wales, Australia",-34.00233,151.2254116667,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
37929486,2019/12/08 5:15 PM AEDT,2019-12-08,2019-12-08 06:15:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-24 23:07:40 UTC,2021-11-05 06:54:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37929486,https://static.inaturalist.org/photos/60205393/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Monument. 11.3m DSC_0926,2,0,false,,"New South Wales, AU",-34.0128831652,151.3647806195,,"Sydney NSW, Australia",-34.00168,151.2242,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
37929487,2019/12/08 5:18 PM AEDT,2019-12-08,2019-12-08 06:18:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-24 23:07:40 UTC,2021-11-05 06:54:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37929487,https://static.inaturalist.org/photos/60205412/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Monument. 10.6m DSC_0939,3,0,false,,"New South Wales, AU",-34.0787348593,151.2839051899,,"Sydney NSW, Australia",-34.00168,151.2242,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
37929495,2019/12/08 4:36 PM AEDT,2019-12-08,2019-12-08 05:36:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-24 23:07:45 UTC,2021-11-05 06:54:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37929495,https://static.inaturalist.org/photos/60205466/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Monument. 12.4m DSC_0876,3,0,false,,"New South Wales, AU",-34.0102200121,151.2918118455,,"Sutherland Shire - East, New South Wales, Australia",-34.00168,151.2242,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
37929497,2019/12/08 4:28 PM AEDT,2019-12-08,2019-12-08 05:28:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-24 23:07:47 UTC,2021-11-05 06:54:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37929497,https://static.inaturalist.org/photos/60205482/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Monument. 12.7m DSC_0860,3,0,false,,"New South Wales, AU",-34.0904746873,151.3732658429,,"Sutherland Shire - East, New South Wales, Australia",-34.00168,151.2242,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
37929510,2019/12/08 4:04 PM AEDT,2019-12-08,2019-12-08 05:04:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-24 23:07:57 UTC,2021-11-05 06:54:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37929510,https://static.inaturalist.org/photos/60205577/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Monument. 11.8m DSC_0797,3,0,false,,"New South Wales, AU",-34.1693945388,151.3941609888,,"Sutherland Shire - East, New South Wales, Australia",-34.00168,151.2242,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
37938158,2019/12/14 10:12 AM AEDT,2019-12-14,2019-12-13 23:12:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-25 04:52:16 UTC,2021-11-05 06:54:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37938158,https://static.inaturalist.org/photos/60220083/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 13.3m DSC_1184,2,0,false,,"New South Wales, AU",-34.1690335682,151.2679705693,,"Kurnell NSW 2231, Australia",-34.00515,151.2290616667,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
37938186,2019/12/14 8:53 AM AEDT,2019-12-14,2019-12-13 21:53:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-25 04:52:32 UTC,2021-11-05 06:54:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37938186,https://static.inaturalist.org/photos/60220245/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 21.5m DSC_1008,2,0,false,,"New South Wales, AU",-34.1445335805,151.3913545974,,"Botany Bay, Sutherland Shire - East, New South Wales, Australia",-34.00515,151.2290616667,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
37938192,2019/12/14 8:42 AM AEDT,2019-12-14,2019-12-13 21:42:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-25 04:52:34 UTC,2021-11-05 06:54:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37938192,https://static.inaturalist.org/photos/60220255/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 21.9m DSC_0985,3,0,false,,"New South Wales, AU",-34.0452086451,151.3117211393,,"Botany Bay, Sutherland Shire - East, New South Wales, Australia",-34.00515,151.2290616667,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38040721,2019/12/15 9:41 AM AEDT,2019-12-15,2019-12-14 22:41:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-27 22:41:20 UTC,2021-11-05 06:54:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38040721,https://static.inaturalist.org/photos/60400318/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Steps. 13.2m DSC_1250,3,0,false,,"New South Wales, AU",-34.1387410305,151.388063511,,"Sutherland Shire - East, New South Wales, Australia",-34.00248,151.2252616667,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38041722,2019/12/17 12:50 PM AEDT,2019-12-17,2019-12-17 01:50:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-27 23:13:17 UTC,2021-11-05 06:54:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38041722,https://static.inaturalist.org/photos/60402095/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 13.4m DSC_1692,3,0,false,,"New South Wales, AU",-34.0928215204,151.3177863092,,"Kurnell NSW 2231, Australia",-34.0050616667,151.2292,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38041732,2019/12/17 12:48 PM AEDT,2019-12-17,2019-12-17 01:48:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-27 23:13:22 UTC,2021-11-05 06:54:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38041732,https://static.inaturalist.org/photos/60402109/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 12.3m DSC_1687,3,0,false,,"New South Wales, AU",-34.0618313638,151.2044218639,,"Kurnell NSW 2231, Australia",-34.0050616667,151.2292,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38041760,2019/12/17 11:53 AM AEDT,2019-12-17,2019-12-17 00:53:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-27 23:13:34 UTC,2021-11-05 06:54:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38041760,https://static.inaturalist.org/photos/60402216/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 16.8m DSC_1556,4,0,false,,"New South Wales, AU",-34.0079139745,151.223926532,,"Botany Bay, Sutherland Shire - East, New South Wales, Australia",-34.0050616667,151.2292,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38041765,2019/12/17 11:40 AM AEDT,2019-12-17,2019-12-17 00:40:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-27 23:13:37 UTC,2021-11-05 06:54:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38041765,https://static.inaturalist.org/photos/60402234/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 20.4m DSC_1530,3,0,false,,"New South Wales, AU",-34.1949185187,151.3600623026,,"Botany Bay, Sutherland Shire - East, New South Wales, Australia",-34.0050616667,151.2292,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38041770,2019/12/17 11:41 AM AEDT,2019-12-17,2019-12-17 00:41:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-27 23:13:39 UTC,2021-11-05 06:54:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38041770,https://static.inaturalist.org/photos/60402237/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 20.4m DSC_1535,3,0,false,,"New South Wales, AU",-34.1003666516,151.3792657222,,"Botany Bay, Sutherland Shire - East, New South Wales, Australia",-34.0050616667,151.2292,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38041776,2019/12/17 11:16 AM AEDT,2019-12-17,2019-12-17 00:16:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-27 23:13:42 UTC,2021-11-05 06:54:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38041776,https://static.inaturalist.org/photos/60402259/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 21.7 m DSC_1472,5,0,false,,"New South Wales, AU",-34.1310398959,151.2200520176,,"Botany Bay, Sutherland Shire - East, New South Wales, Australia",-34.0050616667,151.2292,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38049457,2019/12/22 8:34 AM AEDT,2019-12-22,2019-12-21 21:34:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-28 04:14:56 UTC,2021-11-05 06:55:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38049457,https://static.inaturalist.org/photos/60415803/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Steps. 12.5m DSC_1727,4,0,false,,"New South Wales, AU",-34.0608457502,151.2678181706,,"Sutherland Shire - East, New South Wales, Australia",-34.00252,151.2254,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38112767,2019/12/26 8:38 AM AEDT,2019-12-26,2019-12-25 21:38:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-30 06:39:45 UTC,2021-11-05 06:55:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38112767,https://static.inaturalist.org/photos/60526969/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Steps. 11.1m DSC_1970,5,0,false,,"New South Wales, AU",-34.0200491362,151.2896336722,,"Sutherland Shire - East, New South Wales, Australia",-34.00247,151.2255116667,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38112772,2019/12/26 8:34 AM AEDT,2019-12-26,2019-12-25 21:34:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-30 06:39:48 UTC,2021-11-05 06:55:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38112772,https://static.inaturalist.org/photos/60526977/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Steps. 12.8m DSC_1956,5,0,false,,"New South Wales, AU",-34.1818529731,151.3937263951,,"Sutherland Shire - East, New South Wales, Australia",-34.00247,151.2255116667,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38112774,2019/12/26 8:33 AM AEDT,2019-12-26,2019-12-25 21:33:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-01-30 06:39:49 UTC,2021-11-05 06:55:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38112774,https://static.inaturalist.org/photos/60526982/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Steps. 13.1m DSC_1945,4,0,false,,"New South Wales, AU",-34.1834691763,151.3365909589,,"Sutherland Shire - East, New South Wales, Australia",-34.00247,151.2255116667,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38352497,2019/12/29 10:10 AM AEDT,2019-12-29,2019-12-28 23:10:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-02-06 06:31:12 UTC,2021-11-05 06:56:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38352497,https://static.inaturalist.org/photos/60941343/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 13m DSC_2408,3,0,false,,"New South Wales, AU",-34.1051848387,151.2728296274,,"Kurnell NSW 2231, Australia",-34.0051,151.2291383333,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Common Sea Dragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38352518,2019/12/29 9:05 AM AEDT,2019-12-29,2019-12-28 22:05:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-02-06 06:31:30 UTC,2021-11-05 06:56:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38352518,https://static.inaturalist.org/photos/60941426/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 19.8m DSC_2243,2,0,false,,"New South Wales, AU",-34.1111405071,151.3859641911,,"Botany Bay, Sutherland Shire - East, New South Wales, Australia",-34.0051,151.2291383333,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
38352520,2019/12/29 9:03 AM AEDT,2019-12-29,2019-12-28 22:03:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-02-06 06:31:31 UTC,2022-01-21 06:46:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38352520,https://static.inaturalist.org/photos/60941421/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Leap. 20.3m DSC_2237,2,0,false,,"New South Wales, AU",-34.1784382263,151.2642214808,,"Botany Bay, Sutherland Shire - East, New South Wales, Australia",-34.0051,151.2291383333,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
63944333,2020/01/02 11:37 AM AEDT,2020-01-02,2020-01-02 00:37:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2020-11-01 06:45:41 UTC,2021-03-11 15:39:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63944333,https://static.inaturalist.org/photos/102712766/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies",Phyllopteryx taeniolatus at The Monument. 12.5 m DSC_2618,2,0,false,,"New South Wales, AU",-34.137518211,151.2259703098,,"Sutherland Shire - East, New South Wales, Australia",-34.0016,151.2242,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
104162309,2022/01/02 7:36 AM AEDT,2022-01-02,2022-01-01 20:36:00 UTC,Sydney,125670,andrewtrevor-jones,Andrew Trevor-Jones,2022-01-02 05:35:26 UTC,2022-01-21 01:27:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/104162309,https://static.inaturalist.org/photos/174508949/medium.jpg,,"Actinopterygii, Animals, Fish, Phyllopteryx taeniolatus, Seahorses, Syngnathidae, Syngnathiformes, Vertebrata, Vertebrates, Weedy seadragon, pipefish and allies","Juvenile Weedy Seadragon, Phyllopteryx taeniolatus, at Kurnell, New South Wales, Australia. Depth: 12.2m.",2,0,false,,"New South Wales, AU",-34.0379575622,151.2103171156,,"Sydney NSW, Australia",-34.00241944,151.22551944,28874,,obscured,true,,,,Sutherland Shire - East,New South Wales,Australia,New South Wales,Sutherland Shire - East,Weedy Seadragon,Phyllopteryx taeniolatus,Weedy Seadragon,Actinopterygii,54536
